Nome;Cognome;Ruolo
Alessandro;Baglì;Data Engineer
Matteo;Paparella;Data Engineer
David;28;Data Engineer
David;28;Data Engineer
David;28;Data Engineer
David;28;Data Engineer
['sfcdy', 'fbdpe', 'svfzi', 'ibhgw', 'tdraa', 'qhekb', 'gbwqg', 'fvzva', 'apepx', 'dropj', 'xfuxk', 'cootn', 'khbhc', 'klmuu', 'xdpxq', 'moqkm', 'qgtpf', 'wlkcl', 'dghyt', 'ddrvo', 'ffybj', 'bhbuc', 'hfcmc', 'ihjre', 'yxsdz', 'vzamr', 'njztu', 'prfxo', 'dcuki', 'selzz', 'pxrns', 'ptgby', 'hvhlz', 'xklsj', 'dgleq', 'rcvzv', 'fmton', 'txlcd', 'xxauh', 'lfloy', 'augjw', 'tbval', 'brrgq', 'onrht', 'wecyj', 'ahvgi', 'qbyyq', 'mxfsj', 'fhqou', 'yorgp', 'nlfvy', 'yyvhm', 'zqpns', 'ozzzc', 'lauws', 'pvhsg', 'eofea', 'dozif', 'zveyk', 'ifksd', 'afxch', 'kyauu', 'ocvjv', 'jdyls', 'ouppn', 'cngtk', 'fwcyn', 'rnuwd', 'ljlbh', 'mhqgy', 'ejfrr', 'qdxja', 'rrlve', 'esqxh', 'xpknt', 'decei', 'ogqzq', 'lvfaj', 'wvjfi', 'lekxi', 'xqpor', 'uazcb', 'xwhpq', 'ezxhm', 'inbea', 'jkqat', 'kmxim', 'fgggg', 'atkgt', 'qfeza', 'vmflf', 'pbmsf', 'wupkf', 'oirsa', 'mliop', 'duixl', 'bugng', 'clyls', 'hyzfs', 'ywrwe'];['ybpof', 'tkusd', 'qjtqp', 'reuxt', 'hgktz', 'rjxxs', 'sxvyz', 'zzqbc', 'vuayl', 'oiiis', 'ufauv', 'vuesm', 'bxlfi', 'ccuon', 'ixass', 'vygdi', 'mhski', 'ybxfg', 'wiyzq', 'ubcym', 'eacen', 'flisv', 'qoqez', 'ihmsv', 'nrfph', 'vqjmp', 'sbxom', 'pbrmw', 'edayg', 'akequ', 'spgyr', 'ajjam', 'cfyck', 'ihhzx', 'oultc', 'ovgim', 'gfqlb', 'syicq', 'zpdlq', 'vizxz', 'tqvlk', 'ykjrk', 'jrklk', 'dynru', 'uyhtb', 'utzkf', 'ahpue', 'bthta', 'knxuv', 'cyhgd', 'fwprl', 'xxypy', 'mzixq', 'fxotb', 'djfle', 'egdtr', 'pclqp', 'zwllq', 'mptny', 'jfhik', 'byyfr', 'gftig', 'wsssg', 'yeeoh', 'slivx', 'craba', 'fvhok', 'dxwri', 'vhftf', 'vkmbj', 'trxio', 'bkhih', 'gcgvg', 'bogou', 'xehty', 'iqsrd', 'phikq', 'fxxpo', 'byovv', 'jmwvs', 'luesu', 'pxshn', 'tkswr', 'pbkxs', 'uvogb', 'soyfd', 'dcagk', 'mnmdj', 'cbfod', 'vtgbj', 'dtmti', 'ihqwk', 'kybup', 'fminm', 'jzrxk', 'xdtch', 'ejxbj', 'auzwl', 'docrf', 'vchio'];['gaubv', 'dattn', 'ebcst', 'sxhxm', 'qvtpp', 'pyuup', 'yqnhw', 'zapwh', 'wyuyi', 'ualim', 'lwsft', 'kgsvy', 'zajdt', 'hbnpn', 'heifm', 'ghjbr', 'prbfc', 'wpmvy', 'gjndl', 'fbioe', 'vgiko', 'xjinj', 'oqkpq', 'mqdzy', 'iwvfi', 'vmfkg', 'xrqcv', 'yoerb', 'pqzrb', 'hebfr', 'rtltz', 'yfcga', 'vvxzw', 'mekhf', 'ndxaf', 'fjhkt', 'rlssb', 'wkqkh', 'ferow', 'kbipt', 'nstvj', 'dkqji', 'brnmn', 'dflei', 'jjojd', 'uuuws', 'nrlhu', 'axphg', 'bwkpm', 'diqjg', 'djzhu', 'bzlyx', 'vomzo', 'xccri', 'rxmvm', 'imyyp', 'spzwx', 'uxbsp', 'trsch', 'qifep', 'hqupu', 'kagth', 'zjivr', 'fzkut', 'trtyr', 'uoead', 'jragf', 'ddory', 'paqac', 'xlxri', 'homzi', 'vnbhi', 'vpbsu', 'yzbox', 'ryisg', 'jgxwl', 'zgsxd', 'rhtmh', 'ksgsg', 'zuylb', 'ejvlw', 'pkwzc', 'jmieo', 'irwwn', 'jpujz', 'wvmbu', 'ulrmc', 'gnniw', 'wptrz', 'lvarc', 'xoali', 'ypshz', 'moeuq', 'ynbmu', 'kahgh', 'ceemo', 'zplna', 'urzhm', 'qpnes', 'lcznn']
['jajsy', 'tgill', 'otapz', 'uucnz', 'jmeni', 'blhkp', 'lgmey', 'foulq', 'gpfqy', 'qbcmq', 'qoxsq', 'slylv', 'fkypr', 'lskwl', 'sdain', 'ojqdv', 'bbrft', 'cfpvc', 'qmswa', 'jtcbw', 'retyk', 'nqbjn', 'rdtkb', 'bxavp', 'dgyjl', 'bhwqo', 'zgwtz', 'omnvd', 'fqemf', 'eldiz', 'jscmz', 'orrds', 'uxefd', 'yylcd', 'jbyfx', 'dozkp', 'rssys', 'xlbbl', 'jiajw', 'qrnvb', 'emrey', 'uekhb', 'uehvf', 'qawsh', 'wcoga', 'ouvvz', 'gwrhf', 'jakjk', 'gbkvz', 'stlui', 'hbztu', 'vcavh', 'zdsoh', 'akxkl', 'gsbjs', 'xrquw', 'hkwyg', 'ghbfj', 'vfumd', 'yorrm', 'nkwds', 'uzhkv', 'ofhgz', 'pigsg', 'wgumg', 'eakue', 'ogewf', 'bvogs', 'ghvgi', 'mdeze', 'ushgw', 'nonga', 'wrnxf', 'kmpsj', 'kwhle', 'iqzdj', 'otaya', 'xmbmt', 'orplf', 'ujbgv', 'subpx', 'ubbfs', 'lxbfb', 'pnuwf', 'qmiao', 'tnahy', 'mzhwe', 'aodbg', 'aubop', 'nlvnz', 'cmgdu', 'hkiny', 'kavmt', 'jgpjy', 'fibcf', 'ssebs', 'ooiev', 'fsmuh', 'dxvpa', 'ireen'];['vkxob', 'wsqpf', 'mczqe', 'vxkse', 'mkwhk', 'uslan', 'uluoh', 'ximok', 'wjgqm', 'kqzwy', 'gdowt', 'xhunl', 'eanzu', 'yjatj', 'tzani', 'vngmx', 'ulwkb', 'qoxjy', 'eyphc', 'xdaam', 'rgrbv', 'gtjwi', 'rsnca', 'mkhkd', 'ejjct', 'xlrdi', 'zijvg', 'wzyqw', 'vjswk', 'frqra', 'sguuj', 'zdqht', 'cyilw', 'csrqs', 'yuukp', 'xryox', 'qxjlt', 'quwsd', 'bygrh', 'mamnd', 'zdpry', 'rgagl', 'miblx', 'fcenb', 'piwux', 'qticw', 'fzxou', 'xhpus', 'qyqtd', 'thwqz', 'vbkrv', 'voqdd', 'nhawk', 'oyjgn', 'rbvgm', 'csnfk', 'hijwl', 'fbhop', 'vvord', 'gwcvl', 'lqqbv', 'gxuny', 'aqidu', 'ggqlk', 'ahcvv', 'kjikx', 'kocpf', 'owtfo', 'jcpxz', 'uhfjt', 'zelse', 'fiksr', 'nbbaq', 'inomg', 'jeyvl', 'wqjkb', 'vrznl', 'clmxw', 'zknpq', 'ihtnx', 'felsz', 'wprun', 'tuwkk', 'hfbal', 'onaad', 'tcgtw', 'cpxed', 'fpoze', 'sgrbx', 'anjje', 'yrnic', 'slvoc', 'typjv', 'crqve', 'ambjl', 'nlibr', 'ugvnc', 'svykm', 'cwmkt', 'fsbva'];['fufbf', 'ildxi', 'lrims', 'nssjr', 'lutlb', 'evzpe', 'xllmf', 'zbado', 'sucuy', 'wfcdp', 'qwibb', 'nkftr', 'wzcpw', 'mfjxu', 'shsjj', 'dyxzz', 'twztt', 'xmhxb', 'xamqh', 'gfqek', 'hcxtk', 'hvjkb', 'ymzyw', 'oqbgs', 'beyxj', 'ryvem', 'vguiq', 'oloji', 'sjtwt', 'fkrxd', 'gzdae', 'kzill', 'ndbfa', 'kfukl', 'piwnn', 'jnpuc', 'dxwvd', 'ewmyf', 'gfbva', 'bzadm', 'nobiu', 'dvubv', 'ewnpt', 'huywg', 'sicxi', 'stats', 'dfell', 'dprmc', 'pmfog', 'nxgcu', 'nleea', 'gsnju', 'ijhql', 'ntnpk', 'vjdhl', 'vzzqs', 'pfihh', 'updmo', 'tzqxp', 'fvdoq', 'ftkxf', 'jkjvh', 'zviji', 'axcli', 'nirhi', 'aigfx', 'mlcow', 'ghjgq', 'syhna', 'xuqoq', 'gsmdg', 'llzcn', 'rpovc', 'hwozi', 'foppa', 'beofy', 'umify', 'epnmj', 'wsier', 'tfdty', 'laqco', 'fscoe', 'ewvge', 'gdnzn', 'tykmq', 'fhlrk', 'mosya', 'ifghv', 'fhbbx', 'hgxyf', 'sqkvm', 'srqqa', 'tvyif', 'dpwku', 'zgnpg', 'zlpyn', 'trmzv', 'ornsk', 'kijzv', 'sdwwz']
['lxpct', 'qqins', 'wpoti', 'ffmjl', 'xgjes', 'vzsux', 'mdltj', 'nohwb', 'jhmel', 'dnlzl', 'qdfkh', 'wkoyb', 'ajnbv', 'nmfkk', 'kvhve', 'jcwzx', 'bnxex', 'bpicy', 'redbv', 'ajphp', 'asntg', 'tvdqa', 'ssfpr', 'ikzde', 'lbevo', 'liggt', 'fvrpi', 'krjgc', 'xhcjj', 'sjsap', 'blwbm', 'hhjgl', 'osodo', 'djeyj', 'sndwx', 'bhnet', 'nxopd', 'ckhxi', 'enukv', 'wnzgd', 'vqvau', 'blswm', 'cuscb', 'pcsec', 'fdpgs', 'mmaux', 'mncec', 'cpshz', 'dewdi', 'nujph', 'hlrqm', 'sxhah', 'hcpmv', 'nkepe', 'uzkpl', 'zvpwf', 'ylexv', 'vwfqd', 'ronry', 'vnbrw', 'cblto', 'twwvy', 'rudzx', 'leehb', 'bkbdy', 'gtllc', 'tnnjv', 'rrcqm', 'ttxss', 'usqch', 'nvmxq', 'kgocs', 'lnitj', 'dqttq', 'jqhdt', 'phall', 'srkkn', 'oovej', 'krajx', 'zdodl', 'kmppg', 'ivqzt', 'qwohm', 'dalfs', 'ikdra', 'xgtus', 'yfspi', 'skpup', 'gcgar', 'uwrpo', 'roazl', 'kxbkq', 'hgdsy', 'shjwu', 'nnbdv', 'vdwzy', 'rtsvi', 'ygenq', 'mssug', 'jsxgz'];['plwrh', 'xqutp', 'nbjyh', 'wsfuu', 'mkgls', 'dugrw', 'rorei', 'jwelc', 'tngkc', 'avniz', 'yatsd', 'zwoft', 'wigcp', 'rasee', 'tjbws', 'gwkmh', 'fmarg', 'pquwx', 'rorgs', 'pwqyw', 'tlapd', 'fwpni', 'erjvj', 'rxvms', 'ddxwq', 'cksfo', 'ymjsx', 'grlxz', 'ijzds', 'waylz', 'yuslq', 'anezw', 'sfooo', 'sfqjr', 'hpeiw', 'qtrpg', 'grtyx', 'bxlcj', 'jrzjd', 'gdxrr', 'xqxhh', 'itndn', 'tvtsx', 'dnvei', 'vzigv', 'bmtiv', 'erbby', 'wpvze', 'nsmjk', 'vljux', 'cegey', 'hxrqg', 'bdhdc', 'qelmu', 'zajxv', 'dtttx', 'spqgz', 'ectwd', 'qmdgp', 'myojl', 'pwpbs', 'ciikt', 'qyirt', 'xthfs', 'nkoau', 'vmnbs', 'slemo', 'okmfg', 'dfnbn', 'piwgz', 'zdcgf', 'wzjtl', 'dpxbm', 'atikh', 'zyycb', 'fgpum', 'okwnd', 'awktp', 'katxp', 'ozkmc', 'xeqta', 'knpql', 'djpoy', 'jrkar', 'ceiyn', 'hqdyd', 'sjnvd', 'qrxvo', 'uspwz', 'ssmtn', 'zyjxm', 'sgory', 'strmp', 'ymrlw', 'ikfof', 'zxrdu', 'rdptq', 'kfemm', 'vknub', 'vmzco'];['fesve', 'itxil', 'czvgk', 'hqxiv', 'raxat', 'xdqdp', 'xhbnu', 'kotkf', 'crowi', 'yorng', 'dwgwh', 'qzxgi', 'cibzq', 'gpyxw', 'zvetn', 'opdfv', 'fiobr', 'yebxx', 'salae', 'baqbs', 'bwnhy', 'xjdmk', 'stzlg', 'vsxid', 'gsmzz', 'jmrcv', 'leyij', 'negpr', 'gkmds', 'siakq', 'adelq', 'exygi', 'zmgmw', 'vdpzo', 'kiwto', 'svhke', 'nitbq', 'qomjk', 'jldqg', 'vzdnr', 'xapyk', 'ukcak', 'wivbb', 'hzspz', 'pgevv', 'tuzfj', 'wrepa', 'qiqsy', 'ztque', 'afdkh', 'opwkr', 'naozz', 'kcjgr', 'fhykm', 'mtmuj', 'efciw', 'cpgnd', 'tvvqf', 'urjsv', 'kuole', 'suiys', 'aqhsz', 'nclao', 'vpxbe', 'voxbu', 'clmzv', 'xwevm', 'uizgh', 'uvocv', 'pckis', 'dvtny', 'qfnzt', 'hfiam', 'ktufz', 'ypfnz', 'hdhbt', 'pqemc', 'ddyqq', 'zirrd', 'tenzc', 'khztj', 'chvxm', 'rrabh', 'imtuo', 'rjlxn', 'qktny', 'pxblh', 'blodk', 'ykuzw', 'mhksm', 'nrtrm', 'opoxo', 'rimla', 'zlzcq', 'wybeo', 'lbdyg', 'zwebt', 'kmsyx', 'yocma', 'dkxif']
['xwrhc', 'ubibr', 'nrths', 'tpiyo', 'hgksk', 'ptgji', 'ftszr', 'ddhdi', 'ieozm', 'ztuee', 'dpbrc', 'rnaat', 'byyhr', 'czczk', 'strod', 'ncsey', 'tlbua', 'tsbdn', 'bhpgi', 'qoxvo', 'chaae', 'dkayu', 'tqkeo', 'nhfam', 'zsukl', 'yftpf', 'nkxta', 'lyfci', 'xzqcd', 'ikbnv', 'pasur', 'kwqxi', 'sjmzh', 'zojax', 'mzrca', 'vbdvc', 'hqejy', 'lovxb', 'itnas', 'swznd', 'tktjq', 'jdjqq', 'cmrol', 'vkmmg', 'bjxgd', 'qnwaq', 'mjpux', 'kgsri', 'ulwjq', 'mqrjb', 'gjpjw', 'pqopw', 'zwnji', 'kdxzi', 'lsjcc', 'jxjip', 'xzqds', 'knpzr', 'zlzhl', 'tupwb', 'qycte', 'ygftj', 'dvfix', 'xmuxj', 'wqwmv', 'dbuju', 'kbbbl', 'dynkj', 'couni', 'ifxfn', 'bfpya', 'rukcb', 'fpxdr', 'afslu', 'cynlu', 'csnjm', 'xhzex', 'opxtq', 'cgyaf', 'xyeoe', 'ghiqk', 'zvbsq', 'xxtky', 'btbsg', 'zkdfp', 'sigad', 'vaqfk', 'nijvt', 'kuocq', 'jjcet', 'llfjv', 'etpzl', 'enqxf', 'ftmdj', 'jcpac', 'qnmib', 'dmxvu', 'jriqu', 'qljbv', 'pcewg'];['porpk', 'axaij', 'xiorf', 'eseva', 'liunw', 'hvqzi', 'birpj', 'goboq', 'icoip', 'gxqqe', 'jhbws', 'ejsuv', 'apspk', 'vuxyn', 'plnhk', 'fdzak', 'tnfvh', 'xddsw', 'oktpu', 'oeawl', 'vestf', 'cvxte', 'yggee', 'rqugl', 'mqmjc', 'dvfjh', 'lgyiv', 'alrsw', 'tnsgd', 'znbbz', 'pyrtx', 'bukbo', 'wceye', 'zabsd', 'tdoqp', 'kcraa', 'rpifp', 'fasuc', 'viefq', 'jrqie', 'jwper', 'zbydh', 'ohcum', 'paymz', 'owgio', 'awtvg', 'dafyn', 'fefzn', 'cchip', 'iiqvu', 'nrjpm', 'ybmds', 'dfdgd', 'nigjk', 'tgkdd', 'bkelu', 'dgdjd', 'htuwd', 'fjbni', 'syklx', 'ulxit', 'paazy', 'enfml', 'aeivd', 'lqkvl', 'mzamx', 'edjts', 'nxslr', 'bsusw', 'gnlzq', 'vsjof', 'xqbsw', 'klnhj', 'tdurc', 'xdlmw', 'xzqds', 'nhqps', 'ajhxe', 'dihof', 'vvgre', 'gajzg', 'qeerb', 'kdrbn', 'zgoda', 'imtzx', 'iigwn', 'dmipl', 'xmnyc', 'geiob', 'zqblt', 'gkbpj', 'bpsfo', 'yekbq', 'ictnp', 'ifwku', 'osrgp', 'jyesf', 'itsgf', 'xshxw', 'xjynr'];['glcog', 'pbsjh', 'azyjn', 'zkura', 'yecnd', 'lbgse', 'obqmc', 'bgknm', 'qhqxh', 'aifni', 'hxbce', 'shqxl', 'npboc', 'evsdi', 'yykyg', 'imwxm', 'rqwcx', 'qlnur', 'sefme', 'rwbfc', 'uptrk', 'kdgoa', 'lmshx', 'ceztc', 'ceerj', 'bepxm', 'xqfrg', 'yizig', 'mnzls', 'xasyd', 'fuxnb', 'gcopu', 'spmsy', 'tqlpb', 'abnny', 'oeahc', 'aplir', 'wrzvy', 'wforg', 'jpyfa', 'tromn', 'znycy', 'tgaio', 'fhlrl', 'nfxwf', 'rnfte', 'cyzaq', 'exfae', 'ygjcn', 'uflpp', 'mvjix', 'zceuk', 'kgrva', 'ikguh', 'jbjel', 'vydue', 'ohofx', 'gkfbd', 'gzomt', 'ubloj', 'hhiar', 'vqklh', 'nbxzm', 'uqqix', 'ixncd', 'qpexh', 'bsgtu', 'smlyj', 'cpgzz', 'jfvuu', 'oybav', 'xawoq', 'yekjm', 'czjxx', 'emhli', 'ndqsj', 'tbgry', 'gfmpa', 'acrqj', 'pkegm', 'impie', 'btrdv', 'zdozc', 'swgql', 'zbyss', 'nsyrk', 'czttg', 'zrdei', 'nsyku', 'qxygl', 'rbhbk', 'hjwhy', 'bxhif', 'somuq', 'girsn', 'vuqcx', 'xmiju', 'hhtya', 'ahssm', 'wghqy']
